Date ,Day,Time,Pred,Timestamp
2/22/22,Tue,0:00,0.12,1645516800
2/22/22,Tue,0:01,0.12,1645516860
2/22/22,Tue,0:02,0.13,1645516920
2/22/22,Tue,0:03,0.13,1645516980
2/22/22,Tue,0:04,0.14,1645517040
2/22/22,Tue,0:05,0.14,1645517100
2/22/22,Tue,0:06,0.14,1645517160
2/22/22,Tue,0:07,0.15,1645517220
2/22/22,Tue,0:08,0.15,1645517280
2/22/22,Tue,0:09,0.16,1645517340
2/22/22,Tue,0:10,0.16,1645517400
2/22/22,Tue,0:11,0.17,1645517460
2/22/22,Tue,0:12,0.17,1645517520
2/22/22,Tue,0:13,0.18,1645517580
2/22/22,Tue,0:14,0.18,1645517640
2/22/22,Tue,0:15,0.18,1645517700
2/22/22,Tue,0:16,0.19,1645517760
2/22/22,Tue,0:17,0.19,1645517820
2/22/22,Tue,0:18,0.2,1645517880
2/22/22,Tue,0:19,0.2,1645517940
2/22/22,Tue,0:20,0.21,1645518000
2/22/22,Tue,0:21,0.21,1645518060
2/22/22,Tue,0:22,0.22,1645518120
2/22/22,Tue,0:23,0.22,1645518180
2/22/22,Tue,0:24,0.23,1645518240
2/22/22,Tue,0:25,0.23,1645518300
2/22/22,Tue,0:26,0.23,1645518360
2/22/22,Tue,0:27,0.24,1645518420
2/22/22,Tue,0:28,0.24,1645518480
2/22/22,Tue,0:29,0.25,1645518540
2/22/22,Tue,0:30,0.25,1645518600
2/22/22,Tue,0:31,0.26,1645518660
2/22/22,Tue,0:32,0.26,1645518720
2/22/22,Tue,0:33,0.26,1645518780
2/22/22,Tue,0:34,0.27,1645518840
2/22/22,Tue,0:35,0.27,1645518900
2/22/22,Tue,0:36,0.28,1645518960
2/22/22,Tue,0:37,0.28,1645519020
2/22/22,Tue,0:38,0.28,1645519080
2/22/22,Tue,0:39,0.29,1645519140
2/22/22,Tue,0:40,0.29,1645519200
2/22/22,Tue,0:41,0.3,1645519260
2/22/22,Tue,0:42,0.3,1645519320
2/22/22,Tue,0:43,0.3,1645519380
2/22/22,Tue,0:44,0.31,1645519440
2/22/22,Tue,0:45,0.31,1645519500
2/22/22,Tue,0:46,0.32,1645519560
2/22/22,Tue,0:47,0.32,1645519620
2/22/22,Tue,0:48,0.33,1645519680
2/22/22,Tue,0:49,0.33,1645519740
2/22/22,Tue,0:50,0.33,1645519800
2/22/22,Tue,0:51,0.34,1645519860
2/22/22,Tue,0:52,0.34,1645519920
2/22/22,Tue,0:53,0.34,1645519980
2/22/22,Tue,0:54,0.35,1645520040
2/22/22,Tue,0:55,0.35,1645520100
2/22/22,Tue,0:56,0.36,1645520160
2/22/22,Tue,0:57,0.36,1645520220
2/22/22,Tue,0:58,0.36,1645520280
2/22/22,Tue,0:59,0.37,1645520340
2/22/22,Tue,1:00,0.37,1645520400
2/22/22,Tue,1:01,0.38,1645520460
2/22/22,Tue,1:02,0.38,1645520520
2/22/22,Tue,1:03,0.38,1645520580
2/22/22,Tue,1:04,0.39,1645520640
2/22/22,Tue,1:05,0.39,1645520700
2/22/22,Tue,1:06,0.39,1645520760
2/22/22,Tue,1:07,0.4,1645520820
2/22/22,Tue,1:08,0.4,1645520880
2/22/22,Tue,1:09,0.4,1645520940
2/22/22,Tue,1:10,0.41,1645521000
2/22/22,Tue,1:11,0.41,1645521060
2/22/22,Tue,1:12,0.41,1645521120
2/22/22,Tue,1:13,0.42,1645521180
2/22/22,Tue,1:14,0.42,1645521240
2/22/22,Tue,1:15,0.42,1645521300
2/22/22,Tue,1:16,0.43,1645521360
2/22/22,Tue,1:17,0.43,1645521420
2/22/22,Tue,1:18,0.43,1645521480
2/22/22,Tue,1:19,0.44,1645521540
2/22/22,Tue,1:20,0.44,1645521600
2/22/22,Tue,1:21,0.44,1645521660
2/22/22,Tue,1:22,0.45,1645521720
2/22/22,Tue,1:23,0.45,1645521780
2/22/22,Tue,1:24,0.45,1645521840
2/22/22,Tue,1:25,0.46,1645521900
2/22/22,Tue,1:26,0.46,1645521960
2/22/22,Tue,1:27,0.46,1645522020
2/22/22,Tue,1:28,0.46,1645522080
2/22/22,Tue,1:29,0.47,1645522140
2/22/22,Tue,1:30,0.47,1645522200
2/22/22,Tue,1:31,0.47,1645522260
2/22/22,Tue,1:32,0.47,1645522320
2/22/22,Tue,1:33,0.48,1645522380
2/22/22,Tue,1:34,0.48,1645522440
2/22/22,Tue,1:35,0.48,1645522500
2/22/22,Tue,1:36,0.49,1645522560
2/22/22,Tue,1:37,0.49,1645522620
2/22/22,Tue,1:38,0.49,1645522680
2/22/22,Tue,1:39,0.49,1645522740
2/22/22,Tue,1:40,0.5,1645522800
2/22/22,Tue,1:41,0.5,1645522860
2/22/22,Tue,1:42,0.5,1645522920
2/22/22,Tue,1:43,0.5,1645522980
2/22/22,Tue,1:44,0.51,1645523040
2/22/22,Tue,1:45,0.51,1645523100
2/22/22,Tue,1:46,0.51,1645523160
2/22/22,Tue,1:47,0.51,1645523220
2/22/22,Tue,1:48,0.52,1645523280
2/22/22,Tue,1:49,0.52,1645523340
2/22/22,Tue,1:50,0.52,1645523400
2/22/22,Tue,1:51,0.52,1645523460
